caller	provider	method	path_template	interface	method_name	body_type	return_type	resolved_by	claim
igor	clouddriver	GET	credentials	ClouddriverService	getAllAccounts	-	Call<List<ClouddriverAccount>>	services.clouddriver.baseUrl (DockerRegistryConfig.dockerRegistryProxyService)	igor@v4.22.0 igor-web/src/main/groovy/com/netflix/spinnaker/igor/docker/service/ClouddriverService.groovy:33
igor	clouddriver	GET	credentials/{account}	ClouddriverService	getAccountDetails	-	Call<Map>	services.clouddriver.baseUrl (DockerRegistryConfig.dockerRegistryProxyService)	igor@v4.22.0 igor-web/src/main/groovy/com/netflix/spinnaker/igor/docker/service/ClouddriverService.groovy:36
igor	clouddriver	GET	artifacts/credentials	HelmAccountsService	getAllAccounts	-	Call<List<ArtifactAccount>>	services.clouddriver.baseUrl (HelmConfig.helmAccountsService)	igor@v4.22.0 igor-web/src/main/java/com/netflix/spinnaker/igor/helm/accounts/HelmAccountsService.java:29
igor	clouddriver	PUT	artifacts/fetch	HelmAccountsService	getIndex	Map<String,String>	Call<String>	services.clouddriver.baseUrl (HelmConfig.helmAccountsService)	igor@v4.22.0 igor-web/src/main/java/com/netflix/spinnaker/igor/helm/accounts/HelmAccountsService.java:33
igor	fiat	GET	authorize/{userId}	FiatService	getUserPermission	-	Call<UserPermission.View>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:36
igor	fiat	GET	authorize/{userId}/{resourceType}/{resourceName}/{authorization}	FiatService	hasAuthorization	-	Call<Void>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:46
igor	fiat	POST	authorize/{userId}/{resourceType}/create	FiatService	canCreate	Object	Call<Void>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:61
igor	fiat	POST	roles/sync	FiatService	sync	-	Call<Long>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:72
igor	fiat	POST	roles/sync	FiatService	sync	List<String>	Call<Long>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:81
igor	fiat	POST	roles/sync/serviceAccount/{serviceAccountId}	FiatService	syncServiceAccount	List<String>	Call<Long>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:92
igor	fiat	POST	roles/{userId}	FiatService	loginUser	-	Call<Void>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:100
igor	fiat	PUT	roles/{userId}	FiatService	loginWithRoles	Collection<String>	Call<Void>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:110
igor	fiat	DELETE	roles/{userId}	FiatService	logoutUser	-	Call<Void>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:117
fiat	clouddriver	GET	credentials	ClouddriverApi	getAccounts	-	Call<List<Account>>	services.clouddriver.base-url (ResourcesConfig.clouddriverApi)	fiat@v1.57.0 fiat-roles/src/main/java/com/netflix/spinnaker/fiat/providers/internal/ClouddriverApi.java:26
fiat	clouddriver	GET	applications?restricted=false&expand=false	ClouddriverApi	getApplications	-	Call<List<Application>>	services.clouddriver.base-url (ResourcesConfig.clouddriverApi)	fiat@v1.57.0 fiat-roles/src/main/java/com/netflix/spinnaker/fiat/providers/internal/ClouddriverApi.java:29
fiat	front50	GET	permissions/applications	Front50Api	getAllApplicationPermissions	-	Call<List<Application>>	services.front50.base-url (ResourcesConfig.front50Api)	fiat@v1.57.0 fiat-roles/src/main/java/com/netflix/spinnaker/fiat/providers/internal/Front50Api.java:27
