caller	provider	method	caller_path	norm_path	provider_path	provider_claim	candidates	caller_body	caller_return	provider_body	provider_return	s2_typing	untyped_as_written	untyped_refined	both_sides_untyped_as_written	edge_claim
gate	echo	GET	/pubsub/subscriptions	/pubsub/subscriptions	/pubsub/subscriptions	CLAIM-S2-R0551	1	-	Call<List<Map<String,String>>>	-	List<PubsubSubscriptionBySystem>	typed	1	0	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/EchoService.java:46
gate	echo	POST	/	/	/	CLAIM-S2-R0553	1	Map	Call<Void>	Event	void	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/EchoService.java:49
gate	echo	GET	/quietPeriod	/quietPeriod	/quietPeriod	CLAIM-S2-R0550	1	-	Call<Map>	-	QuietPeriodStatus	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/EchoService.java:52
gate	echo	GET	/notifications/metadata	/notifications/metadata	/notifications/metadata	CLAIM-S2-R0549	1	-	Call<List>	-	List<NotificationAgent>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/EchoService.java:58
gate	front50	GET	/v2/applications?restricted=false	/v2/applications	/v2/applications	CLAIM-S2-R0526	1	-	Call<List<Map>>	-	List<Application>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/Front50Service.java:37
gate	front50	GET	/v2/applications/{applicationName}	/v2/applications/{}	/v2/applications/{applicationName:.+}	CLAIM-S2-R0531	1	-	Call<Map>	-	Application	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/Front50Service.java:40
gate	front50	GET	/v2/applications/{applicationName}/history	/v2/applications/{}/history	/v2/applications/{applicationName:.+}/history	CLAIM-S2-R0532	1	-	Call<List<Map>>	-	Collection<Application>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/Front50Service.java:43
gate	front50	GET	/pipelines	/pipelines	/pipelines	CLAIM-S2-R0476	1	-	Call<List<Map>>	-	Collection<Pipeline>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/Front50Service.java:47
gate	front50	GET	/pipelines/{app}	/pipelines/{}	/pipelines/{application:.+}	CLAIM-S2-R0478	1	-	Call<List<Map>>	-	List<Pipeline>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/Front50Service.java:50
gate	front50	GET	/pipelines/{app}/name/{name}	/pipelines/{}/name/{}	/pipelines/{application:.+}/name/{name:.+}	CLAIM-S2-R0481	1	-	Call<Map>	-	Pipeline	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/Front50Service.java:56
